BorrowerState,EmploymentStatus,EmploymentStatusDuration,LoanOriginalAmount
NJ,Not employed,10,2000
CO,Employed,28,10000
MI,Other,81,5000
FL,Employed,56,20000
ND,Full-time,17,1000
WV,Employed,66,15500
,Not available,,25000
TN,Employed,112,12000
OR,Not employed,42,7500
CT,Employed,84,15000
MO,Full-time,190,3500
IN,Not available,,11000
GA,Not available,,3001
OR,Employed,261,20000
IN,Full-time,214,3300
MD,Full-time,70,3000
MN,Employed,157,7500
NJ,Employed,6,10000
MT,Full-time,20,3000
NC,Self-employed,228,1300
AZ,Employed,31,4000
ID,Not employed,48,1000
NY,Full-time,13,1000
IL,Full-time,50,15000
TX,Employed,12,20000
CO,Employed,13,4000
MS,Full-time,36,1000
,Not available,,1000
GA,Full-time,43,5000
CA,Self-employed,21,10000
AL,Self-employed,32,8000
IL,Employed,183,4000
SC,Employed,145,35000
VA,Full-time,5,5000
CA,Employed,77,20000
PA,Employed,10,4000
MA,Full-time,58,3500
AR,Employed,8,2700
WI,Employed,88,4000
,Full-time,225,3500
VA,Full-time,9,6000
CA,Employed,34,10000
WI,Employed,194,5500
IN,Employed,167,5000
NC,Full-time,145,2000
FL,Employed,135,5000
CA,Employed,48,5500
NJ,Full-time,114,12000
AZ,Employed,8,9000
NY,Full-time,23,7000
PA,Employed,18,2000
FL,Employed,281,8000
CO,Full-time,78,2200
WI,Full-time,385,7000
AZ,Employed,314,15000
FL,Retired,50,12000
NY,Employed,7,12000
TX,Employed,54,15000
OR,Other,95,4000
CA,Employed,48,15000
GA,Self-employed,14,9000
TX,Employed,43,3500
,,,15001
FL,Self-employed,109,2000
OH,Full-time,65,6500
MN,Full-time,295,7500
TX,Employed,5,7500
CO,Employed,30,10000
ID,Employed,194,5000
WA,Full-time,109,2000
UT,Full-time,93,3323
,Not available,,2550
CA,Other,338,4000
MI,Self-employed,289,4000
VA,Employed,44,15000
GA,Self-employed,235,3001
CA,Full-time,14,4500
NY,Employed,59,7500
MN,Employed,19,4000
,Not available,,3000
NJ,Employed,10,4000
GA,Employed,28,15000
NC,Full-time,105,3000
CA,Full-time,6,18000
MO,Full-time,95,2500
NV,Employed,13,20000
,,,1500
TX,Not available,,2000
CA,Full-time,1,7800
OR,Other,160,4000
MI,Full-time,29,1250
NC,Full-time,32,4000
,,,1000
MN,Employed,166,15000
OR,Employed,185,10000
PA,Employed,46,3500
OH,Employed,38,20000
TN,Employed,220,4500
OH,Self-employed,30,4000
,Full-time,20,1000
CO,Full-time,9,3000
IL,Employed,34,20000
NJ,Self-employed,110,3000
CA,Employed,74,20000
KY,Full-time,12,1000
CA,Full-time,84,18000
MA,Employed,64,15000
CA,Employed,27,4000
,Full-time,21,2000
PA,Employed,61,4000
FL,Employed,24,6500
NJ,Employed,107,1000
NJ,Other,34,2000
MD,Employed,68,2000
NJ,Employed,22,4500
IL,Full-time,79,25000
,Not available,,6800
OH,Employed,15,4000
WI,Full-time,112,1000
CA,Full-time,11,4000
FL,Employed,75,4500
MO,Full-time,126,2500
OH,Full-time,1,2000
CA,Employed,148,20000
FL,Full-time,8,25000
NY,Employed,45,4000
PA,Full-time,60,2500
,,,5000
VA,Employed,90,11000
CA,Full-time,110,24000
FL,Employed,82,4000
MA,Full-time,154,12500
SC,Employed,191,10000
CA,Full-time,29,4000
UT,Employed,75,15000
NY,Full-time,38,10000
WA,Part-time,26,3000
CA,Employed,75,8000
WA,Employed,38,9000
IL,Employed,7,10000
AL,Employed,280,15000
TX,Employed,82,15000
,Not available,,15600
NY,Employed,52,19000
MO,Employed,2,10000
OH,Full-time,134,1750
TX,Self-employed,116,10000
TX,Employed,29,12000
OR,Self-employed,153,1200
AR,Employed,150,25000
IN,Full-time,105,9000
KY,Full-time,47,2300
CA,Employed,54,15000
CA,Full-time,176,5000
TX,Not available,,5000
VA,Employed,63,11500
MO,Full-time,8,20000
UT,Not available,,5000
CA,Employed,215,10000
OH,Full-time,112,4000
OH,Employed,22,2000
VA,Employed,46,3500
MN,Employed,9,5000
KS,Full-time,91,9000
WA,Full-time,203,3600
OH,Employed,156,9000
WA,Employed,13,5000
OK,Full-time,151,3500
MN,Retired,56,7450
NJ,Full-time,123,6500
GA,Employed,27,7500
WA,Full-time,25,7000
CT,Employed,40,3000
OH,Self-employed,1,10000
MA,Full-time,61,1000
VA,Full-time,37,6500
WA,Employed,87,7000
KY,Employed,176,4000
NC,Employed,7,4200
MO,Full-time,70,17500
NY,Other,589,2500
FL,Employed,347,5000
TX,Other,48,2500
GA,Employed,3,5000
,,,4500
CA,Employed,121,3000
,Not available,,15050
NY,Employed,3,5327
AL,Employed,115,2000
IN,Employed,112,4000
OH,Employed,17,25000
VA,Employed,72,15000
WA,Employed,0,10000
VA,Employed,165,9000
NM,Full-time,88,7500
CA,Full-time,100,3500
IL,Employed,36,15000
OR,Full-time,250,5000
IL,Employed,29,2500
NC,Full-time,179,2000
IL,Self-employed,13,6000
WI,Employed,17,19000
NY,Employed,34,13000
,,,1000
NJ,Employed,63,4000
NC,Full-time,77,3500
RI,Employed,194,4500
CA,Employed,5,5400
OK,Employed,61,13000
WA,Employed,148,7500
OH,Employed,29,6000
MI,Employed,193,3500
PA,Employed,233,17500
MI,Employed,209,10000
NY,Other,368,7000
MA,Employed,139,13500
TN,Employed,18,2500
CT,Full-time,38,4000
OK,Employed,203,3000
CA,Employed,151,13000
OR,Full-time,26,2500
,Full-time,58,8100
MD,Full-time,21,3000
NE,Employed,179,10000
,Not available,,4000
CA,Full-time,53,3100
FL,Employed,71,4000
CO,Employed,22,4000
IL,Employed,156,10000
FL,Full-time,23,4750
TX,Employed,209,4000
FL,Employed,5,8000
AL,Full-time,37,5000
CA,Self-employed,98,3000
CA,Full-time,226,4715
GA,Full-time,89,5900
MA,Employed,47,8000
IL,Full-time,4,15000
SC,Employed,29,3700
MS,Employed,104,2000
MO,Full-time,114,7000
MA,Full-time,11,6001
CA,Full-time,74,3200
AZ,Employed,37,13000
KY,Full-time,109,25000
MO,Full-time,146,4200
IL,Employed,302,25000
SC,Employed,176,11000
CT,Employed,133,14000
CA,Employed,53,10000
NE,Employed,5,5000
MO,Employed,10,13000
ND,,,1750
CA,Employed,63,15000
NJ,Employed,137,7500
TX,Other,49,4000
IL,Full-time,11,6977
OH,Other,0,2000
,Full-time,44,2500
OH,Employed,392,4000
CO,Not available,,4000
NY,Employed,107,3500
,Part-time,2,15000
IN,Full-time,62,5050
MD,Employed,52,5000
FL,Full-time,20,7000
VA,Full-time,0,3500
MO,Full-time,29,9000
WA,Full-time,6,1000
MN,Full-time,36,4000
PA,Employed,25,17000
NY,Employed,41,15000
NH,Employed,27,2400
MN,Employed,63,15000
,Full-time,37,8000
NV,Self-employed,81,7500
NY,Employed,272,10000
CA,Employed,72,5000
CA,Full-time,19,15000
NJ,Employed,112,2000
CO,Employed,198,4000
VA,Employed,175,4000
CO,Not available,,6000
RI,Employed,147,25000
CA,Employed,23,10000
FL,Full-time,10,2000
CA,Self-employed,10,4000
TX,Employed,244,15000
CO,Self-employed,86,15000
GA,Employed,187,8500
NV,Employed,213,8000
NC,Employed,32,8000
MD,Employed,83,10000
VA,Employed,9,10000
CT,Employed,19,15000
GA,Full-time,88,2000
NE,Employed,2,20000
WI,Employed,74,4000
OR,Full-time,9,8000
VA,Employed,74,5000
CA,Full-time,27,1000
TX,Employed,32,7000
CA,Employed,60,5000
NC,Full-time,161,2500
AZ,Employed,107,10000
FL,Not available,,1200
NY,Full-time,7,10000
TX,Employed,34,12500
CO,Employed,52,5000
MI,Employed,76,7500
NY,Employed,50,25000
IL,Full-time,22,1000
TX,Employed,29,15000
OH,Employed,29,20000
CA,Employed,103,4000
PA,Employed,181,8263
CO,Employed,111,3250
FL,Employed,226,3500
NE,Employed,87,22500
TX,Employed,83,3000
MA,Employed,113,6500
KS,Full-time,68,6000
IL,Employed,27,15000
MD,Other,54,7500
MN,Full-time,9,3000
VA,Employed,10,4500
GA,Employed,10,20000
NV,Employed,10,9000
VA,Employed,55,9000
MI,Full-time,62,1500
TX,Other,57,2000
,Not available,,10000
CA,Full-time,211,3300
MD,Employed,234,15000
NJ,Employed,222,17000
NY,Employed,157,12000
NY,Full-time,85,5000
FL,Other,12,4000
MA,Employed,100,9300
GA,Full-time,31,4800
LA,Employed,7,5000
OH,Employed,191,4000
CA,Employed,214,4000
,Not available,,4000
CA,Not available,,3500
,Not available,,1000
GA,,,16300
VA,Employed,66,12000
NY,Employed,69,10000
NY,Employed,132,4000
MO,Employed,77,15000
PA,Full-time,57,7000
GA,Employed,99,15000
IL,Employed,86,15000
AR,Employed,65,4000
MD,Full-time,5,2500
IL,Full-time,2,5000
IL,Employed,27,8500
FL,Full-time,101,6000
IL,Employed,42,5000
AZ,Full-time,153,5000
VA,Employed,139,15000
FL,Employed,8,4000
NE,Employed,9,2000
NV,Employed,12,4000
,Not available,,6000
ID,Full-time,264,1000
IL,Employed,96,2500
CA,Other,165,15000
LA,Full-time,8,15000
IN,Employed,43,15000
OH,Full-time,234,10000
TX,Full-time,12,5000
MN,Employed,174,10000
CA,Employed,37,10000
NY,,,1000
TN,Full-time,98,2100
CT,Employed,44,9000
NY,Employed,22,12000
CA,Employed,10,9500
,Full-time,23,3000
KY,Employed,71,15000
GA,Employed,127,10700
OH,Employed,71,17000
KS,Employed,75,15000
MI,Employed,67,12500
TX,Employed,65,15000
CA,Employed,47,4000
,Not available,,1000
MI,Employed,176,3500
PA,Full-time,55,1250
CA,Employed,61,5000
IL,Employed,113,10842
NJ,Employed,26,15000
TX,Employed,103,13000
FL,Employed,39,10000
CA,Full-time,3,10000
MI,Full-time,76,2089
PA,Employed,5,10500
WI,Employed,1,3500
NC,Full-time,82,3000
AL,Employed,380,10000
CA,Employed,53,12661
CA,Not available,,7300
AZ,Employed,85,11500
AL,Full-time,126,23000
OH,Employed,35,9500
WI,Self-employed,31,4000
CA,Full-time,346,2000
CA,Employed,92,15000
CA,Employed,105,4000
,Not available,,3500
IN,Employed,101,6000
AZ,Employed,25,5000
MD,Full-time,134,6500
MO,Full-time,53,2500
CA,Employed,1,6000
CA,Employed,11,10000
VT,Full-time,87,4000
GA,Full-time,6,5200
TX,Employed,40,11000
SC,Full-time,50,3000
NJ,Employed,66,15000
NY,Employed,25,6000
WA,Employed,79,10000
MD,Full-time,21,1500
CA,Employed,80,7500
GA,Full-time,58,3000
TX,Employed,149,10000
FL,Full-time,173,5300
KY,Self-employed,18,7500
AL,Employed,81,15000
CA,Self-employed,72,5000
FL,Employed,50,3000
,Not available,,1000
CA,Employed,91,35000
NY,Employed,164,13000
PA,Full-time,21,1000
IN,Employed,36,8000
NY,Employed,15,12000
OK,Employed,17,16000
MN,Employed,122,10000
OR,Employed,18,4700
MN,Employed,36,5500
OH,Employed,4,3000
KY,Employed,24,15000
,Not available,,5500
CT,Employed,155,15000
VA,Employed,29,15000
GA,Full-time,7,3001
MA,Full-time,85,22000
CA,,,3000
IN,Employed,126,4000
NC,Full-time,85,1025
,Full-time,14,4500
ID,Employed,40,5000
OH,Full-time,39,11000
WI,Employed,107,10000
WI,Full-time,12,1000
AZ,Full-time,1,1500
OH,Employed,139,20000
TN,Employed,58,10000
PA,Employed,3,4000
OH,Employed,3,10000
CO,Employed,4,20000
TN,Self-employed,4,4000
CA,Self-employed,192,6200
OH,Employed,98,10000
IL,Employed,100,3500
,Full-time,56,15000
CA,Employed,151,2000
KY,Other,144,4000
VA,Employed,4,4000
WV,Employed,317,15000
WV,Full-time,29,5000
CA,,,3000
WA,Employed,125,30000
NC,Employed,75,15000
CA,Employed,40,25000
FL,Employed,91,3500
GA,Full-time,34,6000
GA,Employed,66,14000
DC,Employed,13,34000
UT,Self-employed,38,1500
GA,Employed,142,13000
,Not available,,2000
,,,5000
IL,Employed,482,8000
MO,Full-time,196,15000
OH,Other,39,10000
CA,Full-time,33,5000
CA,Employed,36,2500
PA,Other,0,3000
CA,Full-time,31,20000
WA,Full-time,33,4000
MD,Other,5,4700
CA,Employed,292,4000
CA,Employed,76,10625
ID,Full-time,44,5000
VT,Employed,40,10000
MA,Employed,11,3000
MN,Employed,56,4000
SD,Employed,43,7000
MN,Employed,63,10000
OK,Employed,26,15000
FL,Employed,0,10000
MA,Full-time,119,8500
WA,Full-time,131,1000
NY,Other,0,4000
FL,Employed,79,3000
CA,Employed,114,10000
MA,Employed,70,4000
CA,Employed,269,8200
OR,Full-time,418,15000
MS,Employed,4,2000
CT,Employed,1,4000
AZ,Employed,62,4000
IN,Part-time,12,4000
MO,Full-time,241,2000
NY,Employed,185,5000
NM,Employed,169,5000
NY,Employed,28,7000
MD,Employed,367,4000
OH,Full-time,87,2100
MI,Full-time,38,6500
FL,Employed,47,6500
CA,Full-time,80,25000
MO,Employed,200,10000
CA,Employed,56,4000
IL,Employed,32,10000
NJ,Full-time,43,2500
FL,Employed,3,10000
CA,Full-time,6,13000
IL,Employed,175,25000
CO,Self-employed,93,13000
LA,Employed,43,13000
MI,Full-time,15,4000
GA,,,8000
IL,Full-time,90,3000
NC,Employed,128,10600
OH,Employed,91,4900
IN,Employed,178,2500
OK,Employed,110,5000
FL,Employed,4,15000
FL,Employed,3,15000
NJ,Employed,91,15000
IL,Employed,7,7000
MI,Full-time,15,6500
TX,Employed,33,20000
CA,Employed,58,8500
,Not available,,1000
PA,Employed,216,25000
PA,Employed,93,25000
NY,Full-time,31,14500
CT,Employed,36,2000
CA,Employed,35,10000
DE,Employed,242,6000
CA,Employed,295,6500
AZ,Employed,21,15000
WV,Full-time,7,25000
KY,Employed,283,2000
MO,Full-time,68,3500
CA,Employed,358,2800
OH,Full-time,80,1500
NY,Employed,104,3000
LA,Employed,118,11500
NY,Not employed,0,1000
AL,Employed,47,15000
MA,Full-time,66,2000
IL,Employed,173,7000
NY,Employed,72,4000
HI,Not employed,12,4000
LA,Employed,59,8000
CA,Employed,62,15000
WA,Employed,25,12000
NC,Not available,,5000
IL,Not available,,2000
MO,Full-time,24,1500
TX,Full-time,0,1650
TN,Full-time,208,7200
MD,Other,550,4000
CA,Self-employed,33,25000
GA,Employed,53,2000
CA,Full-time,0,6000
SC,Employed,147,3000
PA,Self-employed,130,15000
CT,Full-time,130,7000
WA,Employed,26,18000
SD,Part-time,84,3000
CA,Employed,9,4000
NE,Employed,10,4500
MD,Employed,64,4000
VA,Full-time,27,2500
AZ,Retired,19,5500
MN,Employed,76,4000
FL,Employed,48,7500
SC,Employed,39,5000
CA,Employed,133,12500
VA,Employed,115,9000
,,,2620
GA,Full-time,96,13000
VA,Employed,296,4000
IN,Employed,17,2000
OH,Employed,109,3000
PA,Employed,62,5000
TN,Employed,23,10000
,Not available,,1000
PA,Full-time,388,5500
,Not available,,5000
CA,Employed,20,4000
OH,Full-time,100,11000
CA,Employed,15,3000
VA,Employed,12,5000
SC,Employed,5,3700
CA,Not available,,5000
NJ,Self-employed,2,3500
VA,Employed,177,5000
MN,Full-time,45,1500
WA,Employed,12,4000
CA,Full-time,121,24500
NH,Full-time,24,1325
IL,Full-time,37,8000
TX,Employed,13,6580
TX,Employed,113,11000
VA,Employed,44,15000
NH,Employed,126,10000
OK,Employed,133,4000
PA,Employed,33,15000
NC,Employed,66,10000
MD,Full-time,499,23000
CT,Self-employed,63,14500
,Not available,,2999
ID,Full-time,301,14000
MD,Employed,98,25000
NC,Full-time,93,1500
KS,Full-time,4,3000
NJ,Full-time,11,10000
KS,Full-time,26,1250
OH,Not employed,1,5000
,Part-time,7,2800
,Full-time,1,7500
MN,Full-time,72,5000
IN,Employed,128,17000
CA,Employed,133,17500
CT,Employed,182,10500
TX,Not available,,1361
MA,Full-time,55,9000
TN,Full-time,89,10000
NE,Full-time,109,6000
CA,Employed,98,8000
OR,Full-time,1,4000
WA,Full-time,49,5500
TX,Not available,,1000
PA,Self-employed,41,2500
NY,Employed,74,10000
AK,Employed,56,11500
MA,Employed,37,2500
,Not available,,2000
OR,Employed,14,11500
AZ,Employed,12,15000
NY,Employed,150,25000
FL,Employed,65,15000
IN,Employed,0,2000
CA,Employed,22,5500
,Not available,,2500
UT,Employed,6,10000
TX,Other,165,2000
CA,,,2550
IL,Self-employed,17,4000
CO,Full-time,85,1700
AL,Employed,47,9000
NC,Employed,14,2500
MO,Full-time,134,7500
TN,Full-time,177,5000
MN,Employed,33,2000
TX,Employed,71,4210
MS,Employed,281,15000
KY,Not employed,64,5000
PA,Employed,191,9000
TX,Employed,122,24000
GA,Full-time,155,7000
FL,Employed,160,3500
FL,Full-time,58,3500
HI,Full-time,72,25000
CA,Part-time,1,1600
WI,Employed,360,5500
AL,Employed,138,4000
ID,Employed,63,25000
MN,Full-time,8,1000
NY,Employed,78,2000
FL,Employed,195,9000
RI,Employed,165,10000
WV,Not available,,1600
WI,Employed,58,13000
,Full-time,22,20000
TX,Employed,140,15000
KY,Employed,106,12500
TX,Not available,,8000
IL,Employed,129,8000
CA,Employed,2,13500
WV,Employed,105,4000
TX,Not available,,5000
AL,Full-time,139,5000
TX,Employed,233,8000
IL,Employed,146,3000
LA,Employed,98,15000
MD,Employed,141,11000
OK,Employed,405,4000
VA,Employed,35,6000
OK,Employed,194,4000
PA,Self-employed,31,10000
NJ,Employed,304,2000
NY,Employed,139,6800
GA,Full-time,32,25000
MD,Full-time,80,8000
WA,Employed,321,4000
TX,Full-time,0,1500
MI,Self-employed,69,2869
AZ,Employed,139,2000
NE,Employed,143,6842
NY,Full-time,135,13000
OK,Employed,195,12500
FL,Employed,88,25000
CA,Full-time,70,15000
VA,Employed,5,15000
AZ,Employed,80,6000
FL,Employed,171,2000
TX,Employed,61,25000
CA,Employed,101,15000
MN,Employed,5,13000
NY,Full-time,35,6000
MN,Full-time,2,15000
CO,Self-employed,159,15000
MI,Full-time,48,5000
FL,Employed,349,15000
TX,Employed,7,15000
NY,Employed,71,6000
CA,Not available,,5000
CA,Employed,132,2000
CA,Employed,87,20000
HI,Employed,24,2000
MA,Full-time,78,20000
VA,Employed,143,5000
TX,Employed,357,20000
MD,Employed,9,20000
WV,Not available,,2000
FL,Employed,2,7500
MA,Full-time,2,1000
TX,Employed,119,10000
WA,Full-time,104,7200
CA,Employed,81,2000
,Not available,,2500
CO,Other,2,5000
TX,Employed,24,3000
CA,Employed,29,30000
NJ,Employed,111,12000
FL,Other,102,10000
IL,Employed,14,4000
IL,Full-time,87,2100
NJ,Self-employed,50,15000
IN,Full-time,1,4800
MI,Employed,37,18000
NY,Full-time,64,10000
TN,Employed,12,6000
AZ,Employed,96,15000
GA,Employed,72,10000
SC,,,5650
TX,Employed,27,2500
NJ,Not employed,14,4000
CA,Full-time,39,3000
CA,Employed,156,35000
IL,Employed,107,4000
CA,Full-time,5,1000
NE,Employed,6,3000
CA,Full-time,62,10000
CA,Self-employed,201,6500
IL,Employed,15,10000
MS,Employed,48,3800
CA,Employed,14,15000
AL,Other,18,4000
NC,Employed,22,7500
OK,Employed,33,4000
IL,Employed,170,3000
NV,Employed,232,25000
MD,Employed,150,10000
MA,Employed,22,20000
FL,Full-time,384,1500
VA,Employed,3,4000
CO,Employed,46,2000
WI,Other,45,2000
CA,Employed,142,9000
SC,Employed,79,5000
MO,Employed,299,15000
PA,Employed,35,2250
CA,Employed,48,15000
CO,Employed,101,15000
WA,Employed,10,13500
IL,Full-time,19,10000
TX,Employed,316,15000
MO,Self-employed,166,4000
TX,Employed,16,10000
FL,Other,1,17000
MA,Full-time,26,1500
MA,Full-time,12,7500
IL,Full-time,342,5000
MI,Employed,142,7000
FL,Full-time,43,5000
,Not available,,5000
CA,Full-time,20,2000
LA,Employed,30,7500
VA,Employed,55,15000
FL,Self-employed,134,10000
CA,Full-time,74,6000
,Not available,,1600
NV,Employed,359,20000
NV,Other,54,4500
OH,Employed,195,13598
MI,Employed,65,20000
IL,Self-employed,15,4000
CA,Employed,186,5000
HI,Employed,43,17000
NC,Employed,30,7000
CA,Employed,48,16000
VA,Employed,91,8000
VA,Employed,135,15000
GA,Employed,4,5000
MI,Employed,2,5500
OH,Employed,312,2300
GA,Not available,,3001
TX,Employed,162,7000
NY,Employed,48,4000
,Full-time,103,3500
WA,Full-time,44,1000
MN,Full-time,98,8500
NJ,Employed,486,13500
CO,Employed,34,6148
OH,Full-time,114,9000
FL,Employed,17,4000
UT,Full-time,13,14000
VA,Employed,28,3773
CA,Employed,106,4000
TN,Employed,323,4000
LA,Employed,26,5500
NV,Full-time,32,2000
TX,Employed,69,7000
AZ,Full-time,68,1300
OR,Employed,1,2000
GA,Employed,277,4000
WI,Employed,8,4000
NV,Employed,105,2500
NY,Employed,183,10000
CA,Full-time,93,5300
AL,Full-time,83,3000
OR,,,7000
TX,Employed,20,4000
MD,Employed,26,10000
NC,Employed,62,12000
OR,Employed,148,2000
NJ,Employed,103,3000
OH,Employed,94,3500
GA,Employed,2,5500
MO,Employed,435,15000
MI,Employed,90,15000
TX,Other,0,15000
,,,5000
RI,Employed,32,23000
AR,Employed,3,10000
AZ,Employed,16,6000
VA,Full-time,2,5000
IN,Employed,45,4000
MD,Employed,20,3500
MA,Employed,89,16500
FL,Employed,74,10000
OR,Employed,184,8000
CA,Employed,6,7500
CA,Employed,188,4000
FL,Employed,18,7000
MI,Employed,166,14000
TX,Employed,504,7000
IL,Full-time,189,4000
IL,Full-time,35,2000
MA,Employed,6,15000
PA,Employed,151,9000
NJ,Employed,146,4000
SC,Full-time,16,1000
SC,Employed,16,10000
HI,Employed,88,10000
NJ,Full-time,28,5000
KY,Employed,206,10000
GA,Employed,53,13000
IN,Employed,343,12000
CA,Not employed,178,15000
,Full-time,255,6300
TN,Employed,107,4000
IL,Full-time,17,1200
VA,Employed,4,15000
TN,Employed,5,4000
FL,Employed,20,15000
RI,Full-time,51,2000
MD,Full-time,50,2000
NJ,Employed,221,4000
,,,2290
IN,Full-time,55,5900
TX,Employed,185,7500
CA,Employed,91,7000
MN,Self-employed,97,15000
FL,Employed,84,15000
NY,Employed,78,10000
NY,Employed,126,7500
CT,Employed,67,4000
TN,Self-employed,66,1000
NV,Employed,22,4000
WA,Full-time,111,15000
CA,Other,19,2500
FL,Other,16,2000
TX,Employed,54,15000
NM,Full-time,66,2900
OH,Employed,162,20000
MD,Employed,388,25000
TX,Employed,4,3000
CA,Employed,128,3000
GA,Employed,82,4000
DE,Employed,388,12000
TX,Employed,76,7000
MN,Employed,120,5000
IL,Self-employed,18,4000
VA,Employed,32,25000
CA,Self-employed,113,3500
MN,Full-time,61,15000
IN,Full-time,139,9500
WV,Full-time,24,1000
NJ,Full-time,37,6000
NV,Employed,149,8000
IL,Full-time,64,12500
,Full-time,2,3000
GA,Employed,138,25000
FL,Employed,19,2000
WI,Employed,47,10000
MS,Employed,201,4000
PA,Full-time,133,1000
IL,Employed,14,7000
MA,Full-time,62,5000
OH,Full-time,54,1750
OH,Employed,38,10000
CA,Employed,235,8000
CA,Full-time,28,25000
FL,Employed,36,9700
NJ,Employed,124,7000
NM,Employed,80,4000
NJ,Employed,76,3500
CA,Employed,36,15000
CA,Employed,173,13000
VA,Self-employed,28,5000
NY,Employed,44,4150
CA,Employed,408,6000
NE,Employed,174,6850
NM,Full-time,312,5000
NY,Employed,103,2000
KS,Employed,123,14000
PA,Employed,208,4000
CO,Employed,82,10000
CA,Employed,155,10000
FL,Full-time,79,1000
CT,Employed,79,25000
PA,Employed,172,15000
VA,Employed,162,15000
IL,Part-time,100,4500
CA,Employed,8,15000
CO,Employed,165,4000
MN,Employed,77,3000
TX,Full-time,5,5000
NY,Full-time,222,18000
CA,Employed,7,2500
CA,Employed,278,15000
GA,Full-time,7,7000
MI,Part-time,12,3000
AR,Self-employed,30,4000
KS,Employed,176,9000
CT,Self-employed,4,3000
OH,Employed,98,4000
NY,Employed,113,2000
,Full-time,17,5000
,Not available,,9000
NY,Employed,68,15000
LA,Not available,,3600
MI,Employed,88,3000
IL,Employed,103,15000
GA,Full-time,125,2300
OH,Full-time,22,7500
VA,Full-time,22,2000
MN,Employed,26,13000
MO,Full-time,138,2500
MA,Full-time,38,3000
IL,Full-time,4,3500
FL,Employed,119,6500
CO,Employed,42,4000
TX,Employed,65,25000
MO,Employed,110,2840
NY,Self-employed,86,4000
FL,Full-time,114,5500
CA,Full-time,98,7500
CA,Full-time,54,7200
NJ,Employed,152,35000
GA,Full-time,8,7500
CA,Employed,173,9500
IN,Full-time,41,5000
CA,Employed,189,20000
LA,Employed,60,10000
NC,Full-time,78,2200
CO,Employed,171,9000
OH,Employed,14,5000
OK,Employed,147,3000
,,,1000
GA,Not available,,17000
ID,Employed,203,15000
VA,Self-employed,317,12000
CO,Employed,300,2000
,Not available,,3000
WA,Employed,23,15000
CA,Employed,44,2000
,,,2500
IL,Not available,,2000
,Not available,,5000
CA,Not available,,2550
MA,Employed,237,4000
,Not available,,2500
PA,Self-employed,84,4000
CA,Full-time,7,4497
AZ,Employed,189,6000
NY,Employed,2,14000
GA,Employed,23,15000
AR,Full-time,21,5000
MI,Employed,64,4000
CA,Employed,162,4000
UT,Not available,,2500
TX,Full-time,103,6500
FL,Employed,30,6500
,Full-time,4,5500
AZ,Full-time,114,3000
PA,Employed,32,5000
CA,Full-time,9,2500
CA,Employed,26,15000
FL,Employed,4,10000
AR,Full-time,251,3000
NE,Employed,213,2300
FL,Employed,42,25000
SC,Employed,121,8500
CO,Full-time,4,6000
AZ,Employed,63,10000
TX,Employed,23,7000
FL,Employed,91,4000
IN,Employed,13,4000
TN,Employed,94,15000
AK,Employed,297,2000
MS,Full-time,64,4000
,Not employed,127,6500
OR,Employed,197,17000
NC,Employed,32,5000
NY,Not available,,5000
CA,Employed,187,4000
AL,,,2000
TX,Employed,131,10000
IL,Employed,158,20000
NC,Employed,11,8000
NJ,Employed,22,3000
MA,Not available,,8000
OH,Full-time,22,3000
OH,Employed,248,4000
IA,Full-time,121,3000
FL,Employed,89,4000
OR,Full-time,12,4650
VA,Employed,209,6000
FL,Other,102,10000
MN,Employed,25,4000
NC,Employed,37,15000
CA,Employed,10,3000
MN,Other,156,4000
NM,Full-time,58,5000
NY,Employed,89,4500
MD,Full-time,37,6700
LA,Employed,46,4000
MN,Employed,108,10000
NC,Full-time,19,25000
MI,Employed,60,15000
AL,Not available,,2000
AL,Employed,48,7500
OH,Full-time,27,17000
NJ,Employed,18,23500
MI,Employed,27,4000
CT,Employed,143,4000
FL,Employed,25,3500
NY,Employed,10,9000
CO,Employed,25,10000
GA,Full-time,69,5000
GA,Employed,86,15000
WA,Self-employed,102,4800
CA,Full-time,64,1000
MI,Full-time,298,15000
OR,Self-employed,172,2900
NY,Employed,8,3000
KY,Employed,95,15000
FL,Part-time,5,3000
MI,Employed,12,7000
NY,Employed,52,15000
,,,3000
IN,Full-time,199,15000
CT,Employed,405,9500
,Not available,,2550
CA,Full-time,4,2500
TX,Employed,208,9600
GA,Employed,63,7137
NY,Employed,17,4000
KY,Employed,87,12000
GA,Employed,7,5000
OR,Part-time,12,3000
WI,Self-employed,186,4000
CA,Employed,150,2000
CA,Employed,38,4000
AR,Employed,91,2500
NY,Employed,74,25000
MO,Full-time,215,7500
WV,Full-time,39,5000
UT,Part-time,1,1000
IL,Employed,70,8500
MA,Employed,21,4000
CA,Full-time,30,7000
CA,Full-time,9,6000
CA,Employed,59,8000
ME,Full-time,46,2950
WI,Employed,102,13500
TX,Full-time,8,9000
IL,Employed,206,18000
TX,Full-time,6,2500
FL,Other,0,4000
MI,Employed,274,4500
MO,Full-time,41,3000
,Not available,,2000
CA,Full-time,67,6000
AR,Employed,16,4000
,Not available,,1000
CA,Employed,78,11500
MN,Self-employed,10,5000
MI,Employed,106,3000
NY,Employed,66,5850
NY,Employed,296,25000
GA,Other,11,5000
CA,Employed,8,25000
CA,Employed,27,4000
CA,Employed,7,15000
