BorrowerState,EmploymentStatus,EmploymentStatusDuration,LoanOriginalAmount
CA,Employed,117,14080
MD,Other,56,4000
OK,Not available,,3000
MA,Employed,140,13000
PA,Full-time,70,2000
,,,9800
NY,Employed,33,15000
AL,Full-time,10,8000
GA,Employed,103,4000
MA,Employed,324,15000
NY,Employed,65,10000
OH,Full-time,313,9500
OR,Employed,157,4000
NV,Employed,87,25000
NE,Part-time,46,2000
TX,Self-employed,122,25000
VT,Employed,116,22500
LA,Full-time,9,4000
NJ,Employed,108,10000
MI,Employed,105,10000
PA,Employed,68,17700
WA,Retired,75,1500
CA,Employed,67,7000
MD,Employed,105,6000
CA,Self-employed,49,4000
MO,Employed,138,4000
,Not available,,1000
VA,Employed,179,3000
AL,Employed,360,3500
NY,Employed,79,7000
GA,Employed,16,10000
TX,Employed,70,2000
TX,Employed,82,5000
NV,Employed,69,15000
,Not available,,1200
GA,Full-time,1,6500
CA,Employed,89,6000
CA,Employed,12,17000
IL,Employed,245,20000
GA,Employed,16,8000
AZ,Other,55,10000
PA,Employed,14,11000
CA,Employed,16,5000
TX,Self-employed,44,15000
CA,Full-time,91,2500
LA,Full-time,8,23000
NY,Self-employed,56,15000
IL,Employed,64,9000
TX,Self-employed,7,5000
WA,Full-time,146,4000
MA,Full-time,130,9800
CA,Employed,153,2854
CA,Not available,,4000
MD,,,7866
NC,Retired,77,9750
KY,Full-time,17,15001
IL,Employed,52,15000
KS,Employed,117,4000
OH,Employed,250,5000
NJ,Employed,33,15000
NY,Full-time,9,7000
CT,Employed,59,20000
CA,Employed,95,25000
IL,Full-time,3,3500
UT,Employed,16,2000
TX,Employed,0,35000
IL,Employed,321,4000
TX,Employed,123,7500
TX,Employed,31,4000
MN,Employed,323,7000
IL,Full-time,1,12500
IL,Employed,24,2500
PA,Employed,48,4000
OH,Full-time,21,3000
MN,Self-employed,81,2000
,Not available,,3000
MN,Employed,78,6500
MA,Employed,9,3000
TX,,,2500
WV,Employed,60,5500
VA,Other,115,4000
AL,Not available,,2000
TX,Employed,52,20000
CO,Employed,141,15000
OH,Not employed,8,3000
MI,Employed,116,13000
CA,Employed,153,17500
MN,Employed,94,10000
CT,Employed,68,10000
NJ,Employed,294,4000
OK,Full-time,38,1000
,Full-time,18,6001
CA,Not available,,12000
TX,Employed,469,4000
OH,Employed,185,8000
WV,Full-time,21,1200
GA,Full-time,44,2000
CA,Employed,252,11000
AZ,Full-time,27,1000
TX,Employed,153,9900
NY,Employed,32,7000
MI,Employed,5,15000
CA,Employed,60,15000
GA,Employed,26,8500
MD,Self-employed,298,15000
ID,Employed,113,10000
NJ,Employed,42,10000
TX,Employed,152,25000
MD,Full-time,11,2800
TX,Employed,135,8000
IL,Employed,153,3000
PA,Employed,85,10000
TX,Employed,191,15000
,Full-time,9,7000
OR,Full-time,1,1500
NY,Employed,66,13000
FL,Employed,42,5000
CO,Self-employed,32,6571
CA,Employed,144,4000
UT,Full-time,39,7500
MD,Full-time,50,6001
WV,Employed,193,4000
FL,Employed,82,20000
CA,Employed,153,4000
LA,Full-time,51,2900
FL,Employed,94,4000
TX,Employed,26,15000
TN,Retired,255,4200
WA,Full-time,202,5000
GA,Employed,6,8500
KS,Employed,102,15000
MO,Full-time,167,5700
NY,Employed,4,4000
NY,Employed,4,15000
FL,Employed,20,4000
NH,Employed,65,7700
MI,Other,203,7000
CA,Employed,148,3400
DE,Self-employed,107,10000
MO,Employed,56,5000
TX,Employed,21,33750
AZ,Employed,63,13000
NV,Self-employed,33,15000
GA,Employed,43,15000
CT,Self-employed,264,10000
IN,Full-time,252,2000
CT,Employed,109,10000
TX,Employed,316,15000
CA,Employed,123,4000
MS,Employed,344,15000
AZ,Employed,66,10000
CA,Full-time,214,6000
FL,Employed,60,11300
WA,Employed,62,10000
OR,Full-time,58,1000
FL,Full-time,67,10000
UT,Not employed,85,4000
MI,Employed,72,18000
MD,Full-time,6,7200
NC,Other,55,4000
OR,Other,0,4500
IL,Employed,47,2500
NJ,Other,8,12565
FL,Self-employed,99,2000
FL,Employed,224,15000
AL,Employed,62,3000
,,,1000
AL,Employed,123,5000
DE,Other,25,4000
OH,Employed,136,3000
AL,Full-time,106,7000
FL,Full-time,56,8000
VT,Self-employed,222,3000
CA,Employed,138,3500
,,,2500
WV,Self-employed,191,7500
NM,Employed,16,16000
VA,Employed,196,8000
OH,Employed,164,7500
TX,Employed,102,10000
TN,Employed,86,10000
TX,Employed,34,15000
FL,Employed,88,4000
IL,Employed,127,15000
CA,Other,311,2000
GA,Self-employed,13,7000
LA,Employed,120,2000
CO,Employed,18,12000
UT,Self-employed,15,1000
TX,Employed,36,20000
NJ,Self-employed,90,4000
VA,Full-time,107,1800
OR,Part-time,5,6000
CA,Full-time,2,3500
GA,Self-employed,114,13000
IL,Full-time,96,5000
CT,Employed,140,5000
MI,Employed,140,14000
NY,Part-time,42,1450
NM,Employed,75,3000
CA,Employed,18,8500
OH,Employed,89,10000
GA,Full-time,92,1500
MA,Employed,2,7000
OR,Employed,68,7000
MN,Employed,253,6000
NY,Employed,183,7000
GA,Employed,203,10000
MD,Employed,64,4500
IL,Employed,20,2000
VT,Employed,30,35000
PA,Employed,84,2500
KS,Employed,7,35000
IL,Employed,76,2500
GA,Full-time,3,2000
NJ,,,2000
GA,Self-employed,56,10000
NJ,Self-employed,359,15000
IN,Employed,159,20000
TX,Employed,109,2000
NH,Employed,265,12000
CA,Employed,4,10000
CA,Employed,28,13000
LA,Employed,47,10000
MD,Employed,178,15000
FL,Employed,135,15000
IL,Full-time,24,2000
CA,Full-time,56,9000
PA,Employed,70,7500
GA,Employed,29,4000
AK,Employed,8,15000
CA,Employed,83,20000
CO,Employed,14,6000
VA,Full-time,53,11500
OK,Employed,7,3900
NE,Self-employed,7,10000
FL,Employed,85,10000
,,,3001
MO,Employed,94,15000
VA,Employed,54,7500
NY,Employed,196,15000
MI,Employed,21,15000
PA,Employed,149,25000
CA,Not available,,3000
NY,Employed,4,2100
NH,Self-employed,60,9000
OH,Full-time,47,1500
OR,Employed,230,15000
FL,Retired,12,5000
IN,Employed,45,10000
TX,Employed,188,15000
LA,Employed,3,5768
TN,Employed,270,6500
NY,Employed,34,9000
MD,Employed,136,3000
OH,Full-time,6,3500
AZ,Employed,3,11500
AL,Full-time,9,2000
OH,Employed,161,18268
CA,Not available,,2550
OH,Employed,193,13000
FL,Employed,79,4000
TX,Full-time,214,9000
MO,Other,109,5000
NC,Employed,117,35000
NY,Employed,198,2000
VA,Full-time,13,2500
NY,Self-employed,115,4000
NY,Employed,17,4000
NV,Full-time,10,15000
MI,Part-time,11,1000
IL,Employed,181,30000
VA,Employed,30,20000
,,,1500
WV,Employed,336,10000
CA,Self-employed,247,9000
CA,Employed,193,3000
CA,Not available,,3000
TX,Employed,4,3600
IN,Employed,4,8000
FL,Full-time,88,1000
PA,Other,16,8000
NV,Employed,60,3000
CA,Full-time,81,15000
MN,Employed,223,20000
CA,Full-time,4,15000
CA,Employed,12,17000
MO,Employed,149,6000
NC,Employed,348,4000
NY,Employed,60,12000
FL,Employed,17,7000
MN,Employed,96,10000
TX,Employed,76,5000
VA,Employed,7,5000
MO,Full-time,58,4000
MN,Employed,11,6800
GA,Employed,34,10000
GA,Full-time,149,22000
MI,Employed,58,4600
IL,Employed,98,6500
PA,Employed,176,11500
CA,Not available,,3500
CA,Employed,131,8000
MN,Employed,149,4000
FL,Employed,47,10000
AL,Employed,310,6500
CA,Employed,35,12880
MA,Full-time,99,15000
WA,Employed,55,10000
OK,Employed,50,5000
AZ,,,4000
NV,Employed,151,5000
CT,Employed,99,8500
CO,Not available,,1900
NY,Employed,4,4000
NY,Employed,2,15000
AZ,Employed,10,15000
AZ,Employed,88,4000
CA,Full-time,61,15000
GA,Employed,97,4000
CA,Self-employed,26,25000
CT,Employed,7,5000
MN,Employed,175,8000
AZ,Employed,140,35000
NJ,Employed,24,9000
PA,Employed,40,15000
IN,Not available,,5000
IL,Full-time,35,10000
NJ,Employed,62,5000
NY,Employed,12,3500
CA,Full-time,27,15000
WI,Employed,80,4000
GA,Full-time,57,10000
CT,Employed,25,2000
MD,Employed,6,4000
PA,Employed,1,4000
AZ,Employed,84,8000
IN,Employed,9,10000
NY,Full-time,60,1000
TX,Not available,,5000
AR,Employed,117,3500
MI,Employed,154,4000
CA,Employed,161,8500
OH,Employed,2,20000
CA,Employed,89,4000
IL,Employed,6,25000
GA,Employed,118,3000
PA,Employed,33,10000
OH,Employed,6,4000
IN,Employed,102,19000
MT,Full-time,78,2500
HI,Employed,148,5000
OH,Employed,61,15000
TN,Employed,108,12000
NY,Other,81,3000
VA,Full-time,72,6000
MO,Employed,93,8000
MO,Not available,,1000
TN,Employed,13,7500
VA,Employed,145,13000
MI,Full-time,34,8000
NJ,Employed,221,10000
NV,Employed,6,2500
MI,Not employed,49,3000
OH,Employed,58,4000
NY,Full-time,66,1250
CA,Employed,230,25000
FL,Full-time,27,2000
GA,Self-employed,105,15000
FL,Self-employed,78,10000
NY,Employed,32,4000
GA,Not employed,8,5000
AZ,Not available,,2500
CA,Full-time,4,6000
OH,Other,0,4000
NY,Employed,64,9500
TX,Employed,103,15000
WI,Full-time,13,2100
OK,Employed,256,4000
CT,Employed,90,6000
MD,Employed,167,4000
NY,Full-time,52,23000
IL,Self-employed,90,4000
NJ,Employed,30,15000
OH,Employed,209,16000
,Full-time,185,5900
MI,Part-time,39,1000
NC,Full-time,39,7900
NY,Employed,399,10000
CA,Full-time,13,5000
CA,Self-employed,5,2550
NY,Employed,34,7500
CA,Not available,,15000
MA,Employed,42,20000
MI,Employed,16,12000
MI,Employed,160,15000
NJ,Employed,107,35000
CA,Other,24,4000
AZ,Employed,70,6000
CA,Not employed,2,4000
MD,Full-time,14,6001
MD,Employed,1,15000
IL,Employed,154,7000
NJ,Employed,11,8000
CA,Employed,8,10000
MN,Full-time,31,7500
MA,Employed,24,20000
AL,Employed,172,10000
TN,Employed,13,25000
AZ,Employed,31,8500
IL,Employed,335,25000
NM,Other,325,4000
,Retired,0,1200
IN,Full-time,36,2300
MD,Employed,130,10000
MN,Employed,49,10000
NJ,Employed,225,4000
NY,Employed,78,7000
WI,Employed,287,10000
MO,Self-employed,148,10000
MI,Employed,254,3000
FL,Employed,281,10000
GA,Part-time,106,1600
GA,Employed,50,19000
MO,Employed,85,16000
MA,Employed,158,24000
MD,Full-time,25,1000
CA,Employed,48,15000
UT,Full-time,12,5500
MD,Full-time,9,6063
HI,Full-time,14,1000
FL,Full-time,31,1000
OH,Employed,49,5000
OH,Full-time,33,3000
GA,Employed,155,10000
FL,Employed,98,25000
OH,Full-time,101,13500
TX,Employed,293,11000
FL,Self-employed,53,4000
NY,Employed,382,15000
TX,Full-time,8,4000
MN,Employed,26,8500
AR,Employed,45,4000
TN,Employed,28,4000
GA,Employed,220,4000
IL,Employed,102,3750
PA,Employed,70,5500
MD,Employed,20,3500
AL,Full-time,52,11000
HI,Employed,58,4000
CA,Full-time,62,3500
IL,Self-employed,136,15000
MN,Employed,41,5000
NJ,Employed,59,25000
AR,Employed,83,4000
MN,Part-time,225,1000
IL,Employed,445,10000
WI,Full-time,72,1000
MI,Employed,140,4000
AZ,Employed,20,5500
OH,Employed,5,15000
FL,Employed,129,10000
CA,Not available,,3000
FL,Employed,27,15000
WI,Employed,15,15000
GA,Employed,82,15000
IN,Full-time,231,2000
IL,Employed,30,15000
OR,Full-time,54,5000
CA,Full-time,77,3900
TX,Employed,49,2000
NJ,Employed,226,7400
MI,Employed,374,15000
,Not available,,5000
VA,Employed,26,24500
CA,Employed,40,10000
WA,Employed,56,4000
NH,Other,105,10000
AZ,Employed,330,7500
FL,Full-time,54,13000
SC,Other,146,15000
,,,4000
NY,Employed,177,5000
CA,Employed,172,25000
FL,Employed,46,4000
MD,Full-time,0,6001
AZ,Employed,4,2000
PA,Employed,42,4000
CT,Employed,58,10000
OR,Employed,26,20000
MI,Employed,350,15000
FL,Not available,,1000
OH,Employed,116,4000
OH,Employed,77,18000
IL,Employed,330,7500
,Not available,,5000
MT,Self-employed,210,6000
,Full-time,155,3500
MD,Employed,140,7000
OH,Employed,0,15000
NE,Employed,126,3000
ID,Employed,184,10000
CT,Full-time,25,15000
CO,Full-time,205,5000
FL,Other,127,4000
FL,Employed,71,10000
TX,Other,73,4000
MI,Full-time,272,1000
CA,Employed,96,3000
MO,Employed,120,15000
CA,Employed,57,10000
SC,Employed,35,3500
CA,Full-time,41,3500
GA,Employed,136,20000
MO,Employed,62,8000
MO,Employed,73,4100
MI,Employed,94,2500
TX,Employed,114,3500
CT,Employed,20,7500
MI,Full-time,183,17000
CA,Self-employed,42,4000
OR,Employed,155,10000
NJ,Employed,172,10000
,,,4000
VA,Employed,221,20000
AL,Full-time,157,5000
WA,Employed,7,3700
,Not available,,1000
CA,Employed,57,15700
FL,Full-time,207,5000
MA,Employed,47,15000
KY,Employed,214,10000
OH,Employed,216,15000
KS,Employed,230,6000
MO,Full-time,1,1900
OK,Employed,58,4000
NY,Self-employed,11,3900
KY,Full-time,131,15001
LA,Employed,16,4000
PA,Employed,95,13000
FL,Employed,127,15000
IL,Employed,104,12000
MO,Employed,12,4000
CA,Full-time,14,3500
GA,Employed,146,6000
MO,Employed,16,10000
MD,Full-time,57,6300
TX,Full-time,42,10000
GA,Employed,125,3800
NY,Employed,94,15000
VA,Full-time,6,5000
IL,Employed,221,15000
CA,Full-time,9,1000
NC,Full-time,80,24999
MN,Employed,76,13000
FL,Full-time,12,9000
VA,Employed,11,18000
NY,Employed,111,16000
FL,Self-employed,88,4000
VA,Employed,86,3000
CT,Employed,72,4000
,Not available,,1000
NJ,Employed,17,9000
CO,Employed,61,15000
NC,Full-time,140,8500
MD,Full-time,90,8000
KS,Employed,24,4000
GA,Employed,152,15000
WA,Employed,84,13000
UT,Part-time,7,2200
,,,2550
GA,Full-time,27,5000
PA,Employed,11,6000
NY,Full-time,311,4000
NY,Employed,71,3500
PA,Employed,37,4000
LA,Employed,164,15000
ID,Employed,174,4000
CA,Full-time,86,25000
CA,Full-time,44,5500
OH,Other,21,10000
IN,Employed,109,4000
WA,Not available,,4450
TX,Employed,144,4000
IL,Employed,148,10000
NJ,Employed,264,10000
MO,Employed,250,5000
CA,Employed,175,15000
CA,Full-time,25,2000
MN,Employed,74,15000
,Not available,,3000
MA,Employed,38,3500
OH,Employed,171,4000
IL,Employed,109,4000
CA,Part-time,44,2500
TN,Employed,192,10000
FL,Full-time,5,1500
VA,Full-time,23,3000
AL,Employed,4,4200
MN,Full-time,14,11490
GA,Not available,,4500
NJ,Employed,2,4000
WA,Employed,275,3000
MD,Employed,180,15000
FL,Employed,213,10000
CA,Employed,215,15000
AL,Other,38,3267
FL,Full-time,154,1500
OK,Employed,18,5500
GA,,,3001
FL,,,3700
HI,Employed,110,6500
NH,Self-employed,119,4000
TX,Employed,37,10000
MI,Full-time,78,25000
CA,Not employed,17,12000
CA,Employed,152,18456
RI,Employed,64,7500
KS,Employed,171,6000
NJ,Employed,62,8500
MA,Employed,60,6000
MO,Employed,57,15000
GA,Employed,86,3000
NC,Full-time,2,1200
TN,Full-time,22,1000
RI,Employed,34,4000
MI,Employed,46,4000
FL,Employed,116,20000
NY,Employed,133,10000
GA,Employed,15,10000
CA,Full-time,26,20000
OR,Other,97,8800
IN,Self-employed,42,1000
VA,Employed,164,20000
CA,Full-time,294,3000
OK,Employed,53,20000
GA,Employed,5,4000
KY,Employed,42,10000
FL,Employed,43,4000
FL,Self-employed,37,4500
NC,Employed,299,7500
ID,Full-time,8,2780
CT,Employed,66,11500
RI,Employed,150,12500
TN,Employed,19,2700
MI,Employed,336,4000
WI,Full-time,16,4850
SC,Employed,491,2000
NJ,Not available,,5000
TX,Employed,12,12500
WA,Employed,117,7500
IL,Self-employed,70,15000
MN,Employed,225,10000
VA,Employed,40,15000
,Not available,,5500
IN,Employed,66,6000
TX,Employed,331,11250
NJ,Employed,11,2000
KS,Full-time,132,10000
GA,Full-time,31,3001
TX,Full-time,138,5000
TX,Self-employed,72,10000
TX,Employed,27,15000
AK,Employed,19,2500
FL,Full-time,170,1250
MD,Employed,271,10000
CA,Full-time,152,1030
PA,Employed,334,15000
CA,Employed,184,12000
CA,Employed,27,5200
FL,Employed,113,3000
SC,Not employed,11,7500
AR,Self-employed,147,5000
CA,Employed,195,7000
MO,Other,102,3900
FL,Employed,62,7100
AR,Employed,54,7900
CO,Employed,60,4000
,Full-time,16,3100
AZ,Employed,46,8000
IA,Full-time,42,3100
NY,Full-time,80,1000
NJ,Self-employed,5,7000
CA,Full-time,244,2551
MD,Employed,45,10000
ID,,,3000
,,,1200
CA,Employed,35,35000
TX,Self-employed,26,5000
,Not available,,10500
KY,Full-time,32,1300
NY,Full-time,3,8500
LA,Employed,37,2000
MD,Employed,39,7500
CA,Employed,357,15000
OH,Full-time,159,11500
GA,Full-time,185,8000
IL,Employed,73,20000
OH,Full-time,7,3500
IN,Employed,47,4000
NY,Employed,156,4000
,,,10000
TX,Employed,378,9500
CT,Employed,35,4000
TX,Full-time,34,2000
IN,Full-time,134,5000
CO,Full-time,36,3000
NJ,Employed,93,7000
LA,Self-employed,331,3000
AL,Full-time,184,8000
TN,Employed,211,10000
NC,Employed,191,15000
WI,Self-employed,59,10000
FL,Full-time,6,15000
NY,Full-time,155,2000
MD,Full-time,155,6001
VA,Employed,176,12000
CA,Employed,127,7000
IA,Part-time,55,1000
CA,Full-time,7,3000
NY,Full-time,33,2800
NC,Full-time,58,6000
MA,Employed,159,2000
IL,Employed,291,20000
MO,Full-time,111,4000
NY,Full-time,143,10000
CA,Full-time,137,3500
GA,Employed,6,5000
FL,Employed,203,5000
FL,Employed,6,4000
VA,Employed,5,12000
ID,Employed,2,4000
CA,Full-time,190,15000
SC,Self-employed,101,4000
CO,Employed,100,20000
CA,Employed,227,15000
WI,Employed,127,2000
IL,Employed,11,4000
IL,Employed,190,20000
MO,Self-employed,82,1000
PA,Self-employed,184,15000
FL,Full-time,18,6000
CA,Employed,29,12000
NC,Self-employed,59,4000
PA,Employed,56,3000
TX,Employed,237,13000
TN,Employed,265,3900
TX,Employed,103,8000
MD,Full-time,40,15000
,,,5500
WA,,,2500
CT,Employed,20,4000
TX,Employed,3,2000
CA,Employed,121,20000
MS,Employed,173,4000
MI,Other,300,4000
MS,Employed,101,8400
NJ,Employed,148,14000
MI,Employed,33,13000
MI,Employed,54,3000
CA,Employed,66,7500
MN,Part-time,40,1400
MI,Employed,42,7500
GA,Full-time,1,13000
MD,Employed,101,10500
NY,Employed,443,3000
MI,Employed,265,7000
FL,Not employed,0,3000
CA,Full-time,12,4800
FL,Employed,122,6000
CA,Full-time,78,4000
PA,Employed,13,12000
NY,Full-time,15,5000
TX,Not available,,1200
,,,2000
CA,Employed,103,2000
FL,Employed,378,4000
CA,Employed,173,10000
FL,Full-time,87,5000
CA,Employed,85,15000
TX,Employed,219,15000
FL,Full-time,37,5500
IN,Employed,294,10000
NC,Employed,142,25000
PA,Employed,107,2000
MI,Employed,73,5500
CA,Full-time,25,3800
MA,Employed,52,13000
GA,Employed,104,10000
FL,Employed,109,10000
RI,Employed,155,15000
NY,Employed,24,3500
FL,Employed,6,15000
CA,Employed,49,2000
NC,Full-time,89,5000
WI,Employed,225,24000
VA,Full-time,48,3550
TN,Employed,128,10000
TX,Employed,36,4000
UT,Employed,442,15000
,Not available,,8000
CO,Employed,2,13500
NY,Employed,90,8000
NC,Employed,347,15750
CA,Employed,120,14326
CA,Employed,20,6500
FL,Employed,124,4000
ID,Full-time,139,5100
OK,Full-time,11,9999
WA,Employed,47,10000
CA,Employed,180,20000
CA,Employed,7,2000
CA,Employed,76,8000
NJ,Employed,46,6000
WA,Self-employed,173,4000
CA,Full-time,22,1400
MI,Employed,248,3500
CO,Employed,300,25000
IL,Employed,70,4500
TX,Retired,304,1500
WA,Full-time,37,5000
CO,Full-time,15,3400
CA,Employed,17,5000
IL,Employed,11,15000
NE,Full-time,29,3000
CO,Employed,308,15000
AL,Full-time,241,4000
PA,Employed,173,21721
NC,Employed,303,15000
CO,Employed,67,4000
TN,Full-time,8,2000
CA,Employed,170,15000
MN,Other,101,11000
CA,Employed,138,25000
FL,Other,176,4000
MO,Self-employed,121,5384
CA,Employed,155,10000
CA,Employed,36,4000
TX,Employed,25,13500
SD,Employed,141,3000
WA,Employed,84,2000
KS,,,3500
CA,Full-time,164,2700
OH,Employed,1,7000
,Not available,,9000
MI,Employed,32,4000
PA,Employed,48,4000
PA,Employed,44,5000
TX,Full-time,29,10000
CA,Full-time,4,12000
MI,Full-time,111,3400
,Not available,,10000
GA,Employed,55,15000
GA,Full-time,69,4500
MD,Employed,39,6000
PA,Employed,137,15000
CA,Full-time,38,4000
DC,Employed,49,7500
PA,Full-time,122,7500
PA,Employed,40,11500
IL,Full-time,8,4000
FL,Employed,196,10000
SC,Employed,28,10000
TX,Employed,21,15000
IL,Full-time,96,4250
CO,Self-employed,23,2500
,Full-time,202,25000
MO,Full-time,341,1800
CA,Employed,103,5000
CA,Full-time,18,3000
NY,Employed,366,4000
,,,3000
,,,3500
NC,Employed,7,12000
NJ,Employed,298,15000
FL,Employed,120,2000
IL,Employed,130,15000
FL,Full-time,86,2000
MN,Full-time,54,3500
CA,Employed,58,8000
NV,Employed,13,10000
WA,Part-time,21,1000
,,,1000
PA,Employed,63,10000
CO,Employed,4,7500
AL,Full-time,296,15000
VA,Employed,78,3000
VA,Employed,119,8000
KY,Full-time,36,15001
NC,Self-employed,31,9000
CT,Employed,140,13000
,Not available,,5000
WI,,,1000
MO,Full-time,464,10000
MN,Employed,167,5000
,,,8500
CA,Full-time,9,14000
TX,Employed,62,4000
PA,Employed,52,15000
NY,Not available,,5000
CA,Employed,8,9000
FL,Employed,79,10000
TX,Full-time,67,2500
CA,Employed,12,8000
PA,Employed,5,7000
PA,Employed,77,12300
CA,Full-time,5,7000
IL,Employed,171,13000
KY,Employed,296,5000
FL,Employed,33,4000
MA,Employed,5,4000
NY,Employed,27,13323
TX,Employed,88,15000
OH,Employed,2,7000
CA,Full-time,120,5000
CA,Employed,85,13000
LA,Employed,44,4000
MD,Full-time,224,1600
CA,Full-time,21,4500
MO,Full-time,335,4000
CA,Employed,17,8000
IL,Employed,19,3200
WA,Full-time,166,15000
NE,Employed,15,10000
WV,Other,0,4000
GA,Full-time,118,4000
VT,Employed,67,4000
CA,Full-time,40,3000
GA,Employed,47,2000
FL,Employed,123,4000
GA,Employed,93,2000
WY,Self-employed,59,2500
CA,Employed,507,10000
FL,Full-time,183,7000
VA,Employed,81,15000
TX,Employed,66,10000
NJ,Employed,190,9800
CO,Employed,159,20000
MI,Employed,67,15000
WI,Employed,53,25000
WA,Part-time,24,4000
CA,Other,100,8500
CA,Full-time,27,1500
AZ,Self-employed,32,15000
CO,Full-time,48,4000
,Full-time,7,5000
FL,Employed,2,3500
,Not available,,2550
,,,3001
NC,Employed,170,2000
VA,Employed,42,17500
FL,Employed,183,10000
OH,Employed,76,15000
FL,Full-time,36,8500
IN,Employed,117,9000
GA,Full-time,47,15000
PA,Employed,2,2500
WA,Employed,43,15000
NY,Self-employed,74,1000
MI,Employed,81,10000
IN,Employed,19,7500
AZ,Employed,182,7000
OH,Full-time,5,9000
AR,Full-time,51,1500
IL,Employed,80,20000
OR,Employed,2,4000
OH,Employed,49,10000
GA,Full-time,41,5000
OH,Employed,215,35000
IL,Employed,62,10000
CA,Employed,20,4000
MS,Full-time,229,1250
NV,Employed,153,10000
UT,Employed,11,8000
ID,Full-time,31,4250
CA,Self-employed,21,4000
FL,Employed,109,7500
OK,Employed,12,15000
MA,Employed,42,8000
WA,Full-time,73,2000
FL,Full-time,27,1500
TX,Full-time,1,5400
CT,Full-time,210,15000
SC,Employed,181,15000
TN,Employed,109,8000
CA,Employed,11,4000
IL,Employed,231,3000
MD,Full-time,225,3000
CA,Not available,,2550
GA,Employed,122,7875
CA,Employed,54,2500
CA,Employed,9,34999
NE,Employed,155,4000
WI,Full-time,48,9000
IL,Employed,11,7500
CA,Retired,65,6500
CA,Full-time,35,2551
NY,Full-time,11,13500
NJ,Employed,492,4000
AR,Employed,13,4000
OH,Employed,200,10000
,Full-time,176,9900
MO,Full-time,399,7500
FL,Self-employed,0,5000
OH,Full-time,1,2000
MI,Employed,104,8000
GA,Employed,105,13000
NY,Full-time,51,3800
OR,Employed,105,4000
NC,Employed,121,4000
WA,Employed,193,16000
NY,Other,1,15000
VA,Employed,103,10000
NY,Employed,96,3000
TX,Employed,128,10000
MD,Employed,66,6000
WI,Employed,343,15000
,Full-time,43,6000
NY,Employed,149,10000
KY,Employed,67,2250
AL,Full-time,106,8500
TX,Employed,100,16000
LA,Employed,16,8430
OR,Employed,39,4500
WA,Employed,44,4000
NY,Employed,14,10000
,,,6000
MO,Full-time,68,1000
OH,Full-time,10,6000
MD,Employed,127,15000
NY,Employed,10,27500
,Not available,,1000
VA,Full-time,5,7500
AL,Self-employed,26,6000
TX,Employed,122,8500
TN,Employed,0,4000
FL,Full-time,81,15000
VA,Employed,35,7350
OH,Other,0,2000
PA,Employed,78,4000
CO,Employed,196,10000
CA,Not available,,3000
NC,Employed,97,32500
CA,Retired,30,1500
AZ,Employed,29,6000
MD,Employed,318,3000
,,,2550
PA,Employed,148,26000
SD,Employed,60,4000
TX,Employed,151,3500
NY,Employed,212,7500
RI,Employed,93,15000
KY,Employed,136,20000
MA,Employed,93,7000
FL,Employed,37,15000
SC,Other,298,4000
RI,Employed,132,10000
MN,Full-time,15,10000
CA,Employed,273,15000
,Not available,,7000
NY,Employed,2,4000
FL,Full-time,3,1400
CA,Self-employed,37,6500
NJ,Employed,10,15000
OR,Full-time,11,1000
MA,Employed,109,13500
NJ,Employed,28,4000
CO,Employed,4,15000
GA,Self-employed,6,6500
RI,Employed,316,15000
CA,Other,88,12000
WY,Employed,70,8500
OH,Employed,278,7500
NJ,Employed,1,15000
FL,Employed,161,29765
CA,Employed,95,8000
NC,Full-time,44,10000
GA,Full-time,89,4600
WA,Employed,80,10000
,Not available,,4500
FL,Employed,173,9500
IL,Full-time,16,1000
SC,Full-time,40,15000
TX,Full-time,1,3500
PA,Employed,75,17000
TX,Employed,102,10000
WA,Employed,35,5500
FL,Full-time,46,3500
IN,Employed,17,3500
TX,Employed,162,7000
VA,Employed,354,25000
NY,Full-time,158,4500
CA,Full-time,4,2500
GA,Employed,209,5000
GA,Full-time,7,17500
IN,Employed,41,4000
,Not available,,2500
CA,Employed,1,20000
GA,Employed,184,25000
NJ,Employed,18,12000
TN,Employed,42,4000
MT,Full-time,35,1000
GA,Full-time,136,5000
OH,Employed,164,4000
CA,Full-time,233,10000
IN,Other,210,3500
CA,Employed,97,12000
CA,Employed,24,25000
WI,Full-time,16,2000
CA,Employed,241,15000
NY,Employed,23,3000
IL,Employed,108,10000
OR,Employed,20,5000
IL,,,1000
,Not available,,12000
RI,Employed,96,7000
VA,Employed,12,13500
OR,Employed,21,4000
NY,Self-employed,25,6000
LA,Employed,130,3000
NJ,Full-time,22,1200
CA,Full-time,131,16000
OH,Full-time,172,2900
CA,Full-time,12,2200
CA,Full-time,20,2551
IL,Employed,53,15000
NE,Full-time,104,14500
VA,Employed,102,25000
,Full-time,438,9800
PA,Employed,70,20000
CO,Employed,23,35000
AZ,Employed,35,13000
CA,Employed,72,4000
NJ,Employed,26,10000
FL,Employed,9,3000
TX,Employed,100,15000
UT,Employed,75,1200
OH,Employed,41,6000
IL,Employed,140,22000
CA,Full-time,96,5000
VA,Full-time,124,8000
CA,Employed,5,7500
MI,Employed,159,7000
TX,Employed,198,4000
CA,Employed,41,2000
NJ,Employed,9,4000
MI,Employed,295,30000
CA,Other,143,4000
WI,Self-employed,37,10000
